City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
47,Praia,CV,70.34,few clouds,14.9215,-23.5087,LT Aparthotel
48,Namibe,AO,72.0,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
51,Butaritari,KI,81.77,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
55,Kawalu,ID,73.67,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
56,Bontang,ID,78.44,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
61,Solnechnyy,RU,72.45,broken clouds,50.7214,136.6319,Hotel complex Pastoral
62,Katherine,AU,71.92,clear sky,-14.4667,132.2667,Pine Tree Motel
64,Camocim,BR,77.49,scattered clouds,-2.9022,-40.8411,Hotel Ilha do Amor
65,Channapatna,IN,71.73,overcast clouds,12.65,77.2167,Farm house channapatna Bangalore mysore road
67,Bissau,GW,80.71,scattered clouds,11.8636,-15.5977,Jordani
69,Kangaba,ML,83.57,overcast clouds,11.9333,-8.4167,Hôtel Mandé
70,Tomatlan,MX,83.21,overcast clouds,19.9333,-105.25,Norma franco
72,Acarau,BR,78.51,scattered clouds,-2.8856,-40.12,castelo pizzaria
75,Patawag,PH,81.84,scattered clouds,8.1064,122.6208,Banigan Beach
76,Nouadhibou,MR,67.98,clear sky,20.931,-17.0347,El Medina
78,Dongsheng,CN,66.27,scattered clouds,39.8161,109.9776,Crowne Plaza Ordos
82,Bolivar,US,71.28,light rain,37.6145,-93.4105,Comfort Inn Bolivar
83,Marivan,IR,65.26,broken clouds,35.5219,46.176,Miran Hotel
85,Silver City,US,72.91,overcast clouds,32.7701,-108.2803,Copper Manor Motel
86,Mahebourg,MU,71.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
87,Liku,ID,77.52,overcast clouds,-0.7275,119.8922,Kost Raisa & homestay
88,Bethel,US,74.28,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
90,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
91,Khash,IR,69.28,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
94,Cabo San Lucas,MX,94.51,clear sky,22.8909,-109.9124,Tesoro Los Cabos
